site,year,eventID,date_time,rain,cumulative_rain,fstrips,fcontrol,pad
arm,2016,,9/16/2016 1:35,0.001,0.584,,,
arm,2016,,9/16/2016 1:40,0.001,0.585,,,
arm,2016,,9/16/2016 1:45,0.001,0.586,,,
arm,2016,,9/16/2016 1:50,0.002,0.588,,,
arm,2016,,9/16/2016 1:55,0.011,0.599,,,
arm,2016,,9/16/2016 2:00,0.003,0.602,,,
arm,2016,,9/16/2016 2:05,0.001,0.603,,,
arm,2016,,9/16/2016 2:10,0,0.603,,1034,
arm,2016,,9/16/2016 2:20,0.001,0.604,,1034,
arm,2016,,9/16/2016 2:25,0,0.604,,1034,
arm,2016,,10/4/2016 13:50,0.002,0.606,,,
arm,2016,,10/4/2016 13:55,0.001,0.607,,,
arm,2016,,10/4/2016 15:55,0.001,0.608,,,
arm,2016,,10/4/2016 16:05,0.001,0.609,,,
arm,2016,,10/4/2016 16:10,0.004,0.613,,,
arm,2016,,10/4/2016 16:25,0.003,0.616,,,
arm,2016,,10/4/2016 16:30,0.003,0.619,,,
arm,2016,,10/4/2016 16:35,0.002,0.621,,,
arm,2016,,10/4/2016 16:40,0.003,0.624,,,
arm,2016,,10/4/2016 16:45,0.001,0.625,,,
