"SiteID","Year","eventid","precipitation","eventStart","eventEnd","time"
"EIA",2017,62,0.01,2017-07-22 04:05:00,2017-07-22 04:25:00,1.33333333333333
"EIA",2017,66,0.008,2017-08-03 09:20:00,2017-08-03 15:45:00,7.41666666666667
"EIA",2017,74,0.015,2017-08-21 19:50:00,2017-08-21 20:40:00,1.83333333333333
"EIA",2017,82,0.008,2017-10-22 00:10:00,2017-10-22 00:55:00,1.75
"EIA",2018,4,0.01,2018-05-02 20:40:00,2018-05-03 03:00:00,7.33333333333333
"EIA",2018,6,0.007,2018-05-03 22:20:00,2018-05-03 22:45:00,1.41666666666667
"EIA",2018,10,0.013,2018-05-12 01:40:00,2018-05-12 05:35:00,4.91666666666667
"EIA",2018,12,0.024,2018-05-14 05:00:00,2018-05-14 06:40:00,2.66666666666667
"EIA",2018,14,0.026,2018-05-20 05:25:00,2018-05-20 05:55:00,1.5
"EIA",2018,16,0.008,2018-05-21 02:30:00,2018-05-21 06:30:00,5
"EIA",2018,18,0.015,2018-05-26 01:20:00,2018-05-26 01:50:00,1.5
"EIA",2018,20,0.01,2018-05-29 23:45:00,2018-05-30 01:20:00,2.58333333333333
"EIA",2018,22,0.026,2018-06-09 08:00:00,2018-06-09 09:00:00,2
"EIA",2018,24,0.056,2018-06-09 21:50:00,2018-06-10 00:05:00,3.25
"EIA",2018,26,0.018,2018-06-14 10:25:00,2018-06-14 12:35:00,3.16666666666667
"EIA",2018,28,0.047,2018-06-18 22:40:00,2018-06-19 11:05:00,13.4166666666667
"EIA",2018,32,0.012,2018-06-20 16:00:00,2018-06-20 23:45:00,8.75
"EIA",2018,34,0.064,2018-06-21 11:15:00,2018-06-21 14:40:00,4.41666666666667
"EIA",2018,42,0.016,2018-06-30 22:25:00,2018-07-01 03:55:00,6.5
"EIA",2018,44,0.014,2018-07-13 19:35:00,2018-07-14 05:05:00,10.5
"EIA",2018,46,0.033,2018-07-19 05:20:00,2018-07-19 11:15:00,6.91666666666667
"EIA",2018,54,0.007,2018-08-07 18:45:00,2018-08-07 19:00:00,1.25
"EIA",2018,58,0.032,2018-08-15 14:20:00,2018-08-15 19:35:00,6.25
"EIA",2018,64,0.026,2018-08-20 05:20:00,2018-08-20 21:25:00,17.0833333333333
"EIA",2018,66,0.014,2018-08-24 05:30:00,2018-08-24 05:55:00,1.41666666666667
"EIA",2018,72,0.012,2018-08-28 18:15:00,2018-08-28 18:20:00,1.08333333333333
"EIA",2018,74,0.021,2018-09-01 03:10:00,2018-09-01 07:45:00,5.58333333333333
"EIA",2018,78,0.052,2018-09-03 02:25:00,2018-09-03 10:20:00,8.91666666666667
"EIA",2018,80,0.032,2018-09-05 07:20:00,2018-09-05 13:50:00,7.5
"EIA",2018,82,0.017,2018-09-18 10:20:00,2018-09-18 15:00:00,5.66666666666667
"EIA",2018,84,0.031,2018-09-19 11:25:00,2018-09-19 14:35:00,4.16666666666667
