"Year","SiteID","Treatment","eventid","flow","flow_time","eventStart","eventEnd"
2018,"EIA","control",36,14865.17,4736,2018-09-01 03:20:00,2018-09-04 10:15:00
2018,"EIA","control",38,301.551,446,2018-09-05 13:30:00,2018-09-05 20:55:00
2018,"EIA","control",40,16266.427,3671,2018-09-18 11:55:00,2018-09-21 01:05:00
2018,"EIA","control",42,29.976,246,2018-09-25 13:25:00,2018-09-25 17:30:00
2018,"EIA","control",44,279.401,1656,2018-10-01 16:00:00,2018-10-02 19:35:00
2018,"EIA","control",46,56.332,261,2018-10-03 21:50:00,2018-10-04 02:10:00
2018,"EIA","control",48,1001.934,1926,2018-10-05 18:35:00,2018-10-07 02:40:00
2018,"EIA","control",50,37123.009,4791,2018-10-07 18:40:00,2018-10-11 02:30:00
2016,"EIA","strips",2,1813.154,2226,2016-04-06 00:10:00,2016-04-07 13:15:00
2016,"EIA","strips",4,1.933,171,2016-04-28 12:55:00,2016-04-28 15:45:00
2016,"EIA","strips",6,954.611,1576,2016-04-30 11:50:00,2016-05-01 14:05:00
2016,"EIA","strips",8,0.492,31,2016-05-04 00:00:00,2016-05-04 00:30:00
2016,"EIA","strips",10,22.828,956,2016-05-09 18:25:00,2016-05-10 10:20:00
2016,"EIA","strips",12,1.184,311,2016-05-26 05:40:00,2016-05-26 10:50:00
2016,"EIA","strips",14,473.256,2181,2016-05-28 00:15:00,2016-05-29 12:35:00
2016,"EIA","strips",16,64.62,1706,2016-05-30 20:25:00,2016-06-01 00:50:00
2016,"EIA","strips",18,4179.549,2486,2016-06-04 01:50:00,2016-06-05 19:15:00
2016,"EIA","strips",20,752.142,1436,2016-06-06 11:15:00,2016-06-07 11:10:00
2016,"EIA","strips",22,149.554,1446,2016-06-09 04:50:00,2016-06-10 04:55:00
2016,"EIA","strips",24,40.952,451,2016-06-11 02:15:00,2016-06-11 09:45:00
2016,"EIA","strips",26,12.93,651,2016-06-14 12:25:00,2016-06-14 23:15:00
2016,"EIA","strips",28,118876.945,3566,2016-06-22 01:00:00,2016-06-24 12:25:00
2016,"EIA","strips",30,1954.077,1571,2016-06-26 03:00:00,2016-06-27 05:10:00
2016,"EIA","strips",32,387.357,1766,2016-06-30 02:15:00,2016-07-01 07:40:00
2016,"EIA","strips",34,4.646,36,2016-07-06 02:45:00,2016-07-06 03:20:00
2016,"EIA","strips",36,339.15,1526,2016-07-17 05:20:00,2016-07-18 06:45:00
