Year,SiteID,rf_event,rain_mm,rain_hr,rf_rate,eventStart,eventEnd,Time
2018,EIA,15,16,5.516666667,2.900302115,6/30/2018 22:25,7/1/2018 3:55,0
2018,EIA,16,14,9.516666667,1.471103327,7/13/2018 19:35,7/14/2018 5:05,0
2018,EIA,17,33,5.933333333,5.561797753,7/19/2018 5:20,7/19/2018 11:15,0
2018,EIA,18,5,0.35,14.28571429,7/25/2018 22:25,7/25/2018 22:45,0
2018,EIA,19,6,0.433333333,13.84615385,7/30/2018 16:00,7/30/2018 16:25,0
2018,EIA,20,8,9.766666667,0.819112628,8/7/2018 9:15,8/7/2018 19:00,0
2018,EIA,21,33,13.18333333,2.503160556,8/15/2018 6:25,8/15/2018 19:35,0
2018,EIA,22,5,11.43333333,0.437317784,8/16/2018 16:30,8/17/2018 3:55,0
2018,EIA,23,26,16.1,1.614906832,8/20/2018 5:20,8/20/2018 21:25,0
2018,EIA,24,14,0.433333333,32.30769231,8/24/2018 5:30,8/24/2018 5:55,0
2018,EIA,25,12,0.1,120,8/28/2018 18:15,8/28/2018 18:20,0
2018,EIA,26,21,4.6,4.565217391,9/1/2018 3:10,9/1/2018 7:45,0
2018,EIA,27,53,19.1,2.77486911,9/2/2018 15:15,9/3/2018 10:20,0
2018,EIA,28,32,6.516666667,4.910485934,9/5/2018 7:20,9/5/2018 13:50,0
2018,EIA,29,17,4.683333333,3.629893238,9/18/2018 10:20,9/18/2018 15:00,0
2018,EIA,30,31,3.183333333,9.738219895,9/19/2018 11:25,9/19/2018 14:35,0
2018,EIA,31,6,0.683333333,8.780487805,9/21/2018 0:20,9/21/2018 1:00,0
2018,EIA,32,12,0.433333333,27.69230769,9/25/2018 13:15,9/25/2018 13:40,0
2018,EIA,33,4,0.266666667,15,9/29/2018 16:30,9/29/2018 16:45,0
2018,EIA,34,11,1.516666667,7.252747253,10/1/2018 18:10,10/1/2018 19:40,0
2018,EIA,35,25,8.433333333,2.964426877,10/5/2018 18:20,10/6/2018 2:45,0
2018,EIA,36,35,11.26666667,3.106508876,10/7/2018 18:40,10/8/2018 5:55,0
2018,EIA,37,3,0.1,30,10/9/2018 6:55,10/9/2018 7:00,0
2018,EIA,38,14,10.1,1.386138614,10/9/2018 19:15,10/10/2018 5:20,0
2018,EIA,39,17,22.43333333,0.757800892,10/9/2018 6:55,10/10/2018 5:20,0
2016,HOE,1,8.64,2.016666667,4.284297521,9/9/2016 4:00,9/9/2016 6:00,0
2016,HOE,2,17.26,2.016666667,8.558677686,9/9/2016 8:00,9/9/2016 10:00,0
2016,HOE,3,3.55,1.016666667,3.491803279,9/9/2016 14:00,9/9/2016 15:00,0
2016,HOE,4,63.99,24.01666667,2.664399722,9/14/2016 23:00,9/15/2016 23:00,0
2016,HOE,5,14,11.93333333,1.173184358,9/24/2016 16:50,9/25/2016 4:45,0
2016,HOE,6,45,6.766666667,6.650246305,10/4/2016 18:25,10/5/2016 1:10,0
2016,HOE,7,13,3.016666667,4.309392265,10/6/2016 18:45,10/6/2016 21:45,0
2016,HOE,8,29,6.683333333,4.33915212,10/25/2016 18:15,10/26/2016 0:55,0
2016,HOE,9,93.44,163.0166667,0.573192925,9/9/2016 4:00,9/15/2016 23:00,0
2017,HOE,1,6,0.016666667,360,4/17/2017 13:55,4/17/2017 13:55,0
2017,HOE,2,9,1.266666667,7.105263158,4/18/2017 6:35,4/18/2017 7:50,0
2017,HOE,3,8,1.35,5.925925926,4/19/2017 12:15,4/19/2017 13:35,0
2017,HOE,4,4,8.6,0.465116279,4/25/2017 11:35,4/25/2017 20:10,0
